"book_id","title","price","stock","total_sold","description","admin_id","publisher_id","image_url"
1035,"শেষের কবিতা",580.00,14,100,"রবীন্দ্রনাথ ঠাকুরের জনপ্রিয় প্রেমের উপন্যাস, যেখানে প্রেম, ব্যক্তিত্ব এবং সম্পর্কের গভীরতা তুলে ধরা হয়েছে.",107,12,"image/book_cover/shesher_kobita.jpeg"
1036,"চোখের বালি",560.00,13,95,"রবীন্দ্রনাথ ঠাকুরের উপন্যাস, যেখানে সম্পর্ক, আবেগ, সামাজিক রীতি এবং মানুষের মনের জটিলতা তুলে ধরা হয়েছে.",107,12,"image/book_cover/chokher_bali.jpeg"
1037,"Atomic Habits",700.00,20,190,"A practical guide to building good habits and improving daily life.",108,13,"image/book_cover/atomic_habits.jpeg"
1038,"Clean Code",850.00,12,80,"A programming book about writing clean and maintainable software.",107,14,"image/book_cover/Clean_code.jpeg"
1039,"Introduction to Algorithms",1200.00,8,60,"A comprehensive book covering fundamental algorithms and data structures.",108,14,"image/book_cover/Introduction_to_algorothm.jpeg"
1040,"The Psychology of Money",750.00,18,130,"A book exploring human behavior and decision making related to money.",104,13,"image/book_cover/The_psycology_of_money.jpeg"
1001,"Norwegian Wood",750.00,15,90,"A moving novel by Haruki Murakami exploring love, loss, memories, and emotional relationships.",104,1,"image/book_cover/Norwegian_wood.jpeg"
1002,"Kafka on the Shore",820.00,12,70,"A surreal novel by Haruki Murakami blending mystery, dreams, and philosophical questions.",105,1,"image/book_cover/kafka_on_the_shore.jpeg"
1003,"Crime and Punishment",650.00,18,120,"Fyodor Dostoevsky's classic novel exploring morality, guilt, and redemption.",106,2,"image/book_cover/Crime_and_Punishment.jpeg"
1004,"Pride and Prejudice",550.00,20,150,"Jane Austen's famous romantic novel about love, society, and personal growth.",107,3,"image/book_cover/pride_and_prejudice.jpeg"
1005,"The Kite Runner",780.00,16,110,"A powerful story about friendship, betrayal, forgiveness, and redemption.",108,4,"image/book_cover/The_kite_runner.jpeg"
1006,"A Thousand Splendid Suns",850.00,14,95,"A touching novel portraying the lives, struggles, and strength of Afghan women.",104,4,"image/book_cover/A_thousand_splendid_suns.jpeg"
1007,"The Book Thief",720.00,13,85,"A historical fiction novel about a young girl, books, and humanity during World War II.",105,5,"image/book_cover/the_book_thief.jpeg"
1008,"Life of Pi",690.00,17,100,"An adventurous philosophical story about survival, faith, and imagination.",106,6,"image/book_cover/life_of_pi.jpeg"
1009,"The Great Gatsby",600.00,19,130,"A classic novel about dreams, love, wealth, and the American society.",107,7,"image/book_cover/the_greate_gatsby.jpeg"
1010,"Animal Farm",420.00,25,180,"George Orwell's political satire using animals to explore power and corruption.",108,3,"image/book_cover/animal_farm.jpeg"
1011,"The Alchemist",650.00,22,200,"A philosophical journey of a young shepherd searching for his dream and purpose.",104,8,"image/book_cover/The_alchemist2.jpeg"
